network_settlement_id,settlement_batch_date,payment_method,gross_amount,network_fee,net_amount,merchant_order_ref,utr_number
NPCI-SET-01058,2026-03-05,IMPS,11450.44,114.5,11221.43,INV1058,UTR202603051058553
NPCI-SET-01042,2026-03-02,NEFT,5628.34,50.66,5543.91,INV1042,UTR202603021042673
NPCI-SET-01015,2026-03-06,UPI,6804.1,61.24,6702.04,INV1015,UTR202603061015564
NPCI-SET-01006,2026-03-04,NEFT,12526.37,112.74,12338.47,INV1006,UTR202603041006733
NPCI-SET-01033,2026-03-03,IMPS,4351.41,39.16,4286.14,INV1033,UTR202603031033234
NPCI-SET-01030,2026-03-06,IMPS,8970.58,80.74,8836.02,INV1030,UTR202603061030614
NPCI-SET-01014,2026-03-04,UPI,4145.5,37.31,4083.32,INV1014,UTR202603041014666
NPCI-SET-01054,2026-03-02,UPI,9872.19,98.72,9674.75,INV1054,UTR202603021054250
NPCI-SET-01044,2026-03-02,NEFT,13146.42,118.32,12949.22,INV1044,UTR202603021044979
NPCI-SET-01011,2026-03-06,UPI,2571.64,23.14,2533.07,INV1011,UTR202603061011242
NPCI-SET-01052,2026-03-03,NEFT,7673.28,76.73,7520.21,INV1052,UTR202603031052429
NPCI-SET-01043,2026-03-02,NEFT,859.4,7.73,846.51,INV1043,UTR202603021043854
NPCI-SET-01028,2026-03-04,NEFT,2887.24,25.99,2843.93,INV1028,UTR202603041028102
NPCI-SET-01056,2026-03-04,UPI,2623.28,26.23,2545.81,INV1056,UTR202603041056804
NPCI-SET-01023,2026-03-02,NEFT,7353.73,66.19,7243.42,INV1023,UTR202603021023903
NPCI-SET-01008,2026-03-04,IMPS,5867.62,52.81,5779.61,INV1008,UTR202603041008314
NPCI-SET-01026,2026-03-02,NEFT,13180.05,118.62,12982.35,INV1026,UTR202603021026177
NPCI-SET-01010,2026-03-01,UPI,6316.89,56.85,6222.14,INV1010,UTR202603011010167
NPCI-SET-01025,2026-03-04,IMPS,4105.52,36.95,4043.94,INV1025,UTR202603041025294
NPCI-SET-01024,2026-03-01,IMPS,6641.89,59.78,6542.26,INV1024,UTR202603011024578
NPCI-SET-01005,2026-03-03,IMPS,4335.55,39.02,4270.52,INV1005,UTR202603031005144
NPCI-SET-01002,2026-03-05,IMPS,1858.58,16.73,1830.7,INV1002,UTR202603051002338
NPCI-SET-01049,2026-03-05,IMPS,5006.44,50.06,4906.31,INV1049,UTR202603051049171
NPCI-SET-01021,2026-03-03,UPI,3836.66,34.53,3779.11,INV1021,UTR202603031021325
NPCI-SET-01040,2026-03-06,UPI,8633.15,77.7,8503.65,INV1040,UTR202603061040214
NPCI-SET-01047,2026-03-03,NEFT,1054.73,9.49,1038.91,INV1047,UTR202603031047710
NPCI-SET-01016,2026-03-05,NEFT,9330.07,83.97,9190.12,INV1016,UTR202603051016256
NPCI-SET-01013,2026-03-01,IMPS,9597.97,86.38,9454.0,INV1013,UTR202603011013911
NPCI-SET-01051,2026-03-04,NEFT,7770.66,77.7,5672.59,INV1051,UTR202603041051408
NPCI-SET-01027,2026-03-06,UPI,13932.32,125.39,13723.34,INV1027,UTR202603061027969
NPCI-SET-01034,2026-03-03,UPI,7145.14,64.31,7037.96,INV1034,UTR202603031034676
NPCI-SET-01038,2026-03-03,NEFT,3452.16,31.07,3400.38,INV1038,UTR202603031038749
NPCI-SET-01017,2026-03-01,NEFT,782.41,7.04,770.67,INV1017,UTR202603011017471
NPCI-SET-01050,2026-03-03,NEFT,4588.01,45.88,4496.25,INV1050,UTR202603031050813
NPCI-SET-01012,2026-03-06,UPI,6291.31,56.62,6196.94,INV1012,UTR202603061012324
NPCI-SET-01022,2026-03-01,IMPS,7955.26,71.6,7835.93,INV1022,UTR202603011022385
NPCI-SET-01029,2026-03-04,UPI,2744.55,24.7,2703.38,INV1029,UTR202603041029403
NPCI-SET-01039,2026-03-01,UPI,1139.26,10.25,1122.17,INV1039,UTR202603011039441
NPCI-SET-01031,2026-03-01,UPI,9128.01,82.15,8991.09,INV1031,UTR202603011031791
NPCI-SET-01048,2026-03-05,NEFT,10894.55,108.94,10651.66,INV1048,UTR202603051048294
NPCI-SET-01037,2026-03-06,IMPS,2173.72,19.57,2141.11,INV1037,UTR202603061037209
NPCI-SET-01057,2026-03-02,UPI,1552.4,15.53,1521.35,INV1057,UTR202603021057355
NPCI-SET-01007,2026-03-01,UPI,14785.71,133.07,14563.92,INV1007,UTR202603011007975
NPCI-SET-01032,2026-03-05,IMPS,1688.76,15.2,1663.43,INV1032,UTR202603051032773
NPCI-SET-01041,2026-03-03,NEFT,6731.91,60.59,6630.93,INV1041,UTR202603031041142
NPCI-SET-01053,2026-03-05,IMPS,4121.65,41.22,4039.22,inv_1053,UTR202603051053779
NPCI-SET-01045,2026-03-03,NEFT,843.13,7.59,830.48,INV1045,UTR202603031045297
NPCI-SET-01019,2026-03-05,UPI,13150.28,118.35,12953.03,INV1019,UTR202603051019533
NPCI-SET-01036,2026-03-05,IMPS,14765.87,132.89,14544.38,INV1036,UTR202603051036926
NPCI-SET-01004,2026-03-03,UPI,14379.59,129.41,14163.9,INV1004,UTR202603031004444
NPCI-SET-01003,2026-03-06,NEFT,3696.39,33.27,3640.94,INV1003,UTR202603061003703
NPCI-SET-01018,2026-03-05,IMPS,12332.34,110.99,12147.35,INV1018,UTR202603051018878
NPCI-SET-01009,2026-03-05,IMPS,7202.77,64.82,7094.73,INV1009,UTR202603051009376
NPCI-SET-01035,2026-03-05,NEFT,13272.53,119.45,13073.44,INV1035,UTR202603051035350
NPCI-SET-01046,2026-03-03,IMPS,10353.01,93.18,10197.71,INV1046,UTR202603031046963
NPCI-SET-01001,2026-03-06,IMPS,4050.93,36.46,3990.17,INV1001,UTR202603061001242
NPCI-SET-01020,2026-03-04,UPI,13544.4,121.9,13341.23,INV1020,UTR202603041020562
